,report_date,borough,individuals
337,2022-08-31,Unknown,362
340,2022-01-31,Manhattan,8406
341,2019-04-30,Unknown,441
344,2022-04-30,Unknown,350
345,2021-11-30,Outside NYC,3288
348,2019-08-31,Manhattan,9006
349,2021-06-30,Brooklyn,11664
351,2022-09-30,Manhattan,10395
352,2023-02-28,Unknown,592
353,2023-10-31,Brooklyn,14508
354,2019-06-30,Outside NYC,3537
355,2020-07-31,Bronx,19172
356,2020-03-31,Queens,8240
357,2021-01-31,Bronx,18335
358,2019-03-31,Unknown,448
359,2020-08-31,Outside NYC,3393
360,2019-01-31,Unknown,554
362,2019-01-31,Queens,8596
364,2023-10-31,Unknown,572
365,2019-06-30,Manhattan,8758
366,2019-06-30,Brooklyn,15384
368,2023-04-30,Brooklyn,13195
369,2023-03-31,Queens,7234
370,2022-04-30,Bronx,15154
371,2023-01-31,Queens,6975
372,2019-09-30,Bronx,20938
374,2022-05-31,Outside NYC,4487
375,2019-10-31,Queens,8518
376,2023-08-31,Queens,8323
378,2022-04-30,Manhattan,8236
379,2022-11-30,Brooklyn,12873
380,2021-02-28,Manhattan,9317
381,2022-05-31,Bronx,15105
384,2020-09-30,Queens,7613
385,2022-09-30,Staten Island,830
386,2019-02-28,Staten Island,1331
389,2019-11-30,Manhattan,9235
390,2020-05-31,Brooklyn,14467
391,2023-07-31,Staten Island,958
392,2019-03-31,Outside NYC,3536
393,2019-12-31,Queens,8342
394,2020-07-31,Outside NYC,3444
396,2020-08-31,Manhattan,9133
397,2020-08-31,Bronx,19032
398,2020-03-31,Bronx,20120
399,2021-06-30,Manhattan,8423
401,2020-01-31,Manhattan,9284
402,2020-07-31,Brooklyn,14005
403,2021-10-31,Unknown,293
404,2021-10-31,Manhattan,8335
405,2023-10-31,Staten Island,1122
406,2023-05-31,Outside NYC,28321
408,2021-12-31,Brooklyn,11189
409,2021-04-30,Bronx,17024
410,2019-12-31,Bronx,20660
411,2021-10-31,Brooklyn,11464
412,2022-02-28,Brooklyn,11129
413,2023-06-30,Outside NYC,28070
414,2022-01-31,Unknown,330
415,2021-08-31,Bronx,15147
416,2021-07-31,Unknown,258
417,2023-11-30,Queens,9055
418,2022-05-31,Unknown,358
419,2023-08-31,Unknown,609
